Date,Indexed Sales,Public Sector Holidays,Weekday,School,University,Tiktok View,Tiktok Follower Gain,Tiktok Phone click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramazan,catagory,Influncer Post,Event ,Public Sector Salary,Private Sector Salary
11.22.2025,0.998666667,0,0,1,1,153323,86,0,70439,110,47585,38,0,4,0,,0,0
11.23.2025,0.858666667,0,1,1,1,162213,92,1,33450,56,9759,7,0,4,0,,0,0
11.24.2025,1.057333333,0,1,1,1,131661,86,4,23251,51,5690,5,0,4,0,,0,0
11.25.2025,0.957333333,0,1,1,1,111076,49,0,22149,56,5758,5,0,4,0,,0,0
11.26.2025,1.036,0,1,1,1,62022,33,0,25168,51,9533,7,0,4,0,,0,0
11.27.2025,1.545333333,0,1,1,1,14635,-2,1,18318,33,8254,6,0,4,0,,0,0
11.28.2025,1.833333333,0,0,1,1,6581,-14,0,25120,41,12752,12,0,4,1,,0,0
11.29.2025,1.082666667,0,0,1,1,6041,-16,3,20884,60,14640,20,0,4,0,,0,0
11.30.2025,0.966666667,0,1,1,1,5211,-11,0,18178,48,30535,31,0,4,0,,1,0
12.01.2025,0.978,0,1,1,1,5098,-16,0,22046,37,38809,39,0,4,0,,1,1
12.02.2025,0.944,0,1,1,1,25358,-11,3,53146,51,27697,14,0,4,0,,1,0
12.03.2025,0.82933333,0,1,1,1,51283,15,4,69427,85,89867,82,0,4,0,,0,0
12.04.2025,1.3,0,1,1,1,40526,9,3,53032,74,86587,77,0,4,0,,0,0
12.05.2025,1.56066667,0,0,1,1,26433,1,2,39045,61,51322,47,0,5,0,,0,0
12.06.2025,1.112,0,0,1,1,85859,7,4,37813,82,29174,31,0,5,0,,0,0
12.07.2025,1.251,0,1,1,1,92885,15,2,43427,57,25938,16,0,5,0,,0,0
12.08.2025,0.99733333,0,1,1,1,68821,4,2,57884,79,26755,25,0,5,0,,0,0
12.09.2025,0.94633333,0,1,1,1,45955,10,3,59818,105,40901,37,0,5,0,,0,0
12.10.2025,1.12,0,1,1,1,43693,14,7,21868,53,24244,24,0,5,0,,0,0
12.11.2025,1.403,0,1,1,1,19772,0,1,21263,40,14146,20,0,5,0,,0,0
12.12.2025,1.254,0,0,1,1,10919,-1,0,21276,38,11866,6,0,5,0,,0,0
12.13.2025,1.05466667,0,0,1,1,13827,-9,0,21179,58,11603,14,0,5,0,,0,0
12.14.2025,0.81666667,0,1,1,1,9267,-9,1,16250,45,10006,7,0,5,0,,0,0
12.15.2025,0.99566667,0,1,1,1,13089,-7,3,21455,48,7585,18,0,5,0,,0,0
12.16.2025,0.798,0,1,1,1,22426,-6,0,15908,24,5387,9,0,5,0,,0,0
12.17.2025,0.84666667,0,1,1,1,30970,-3,0,11915,34,3912,4,0,5,0,,0,0
12.18.2025,0.87333333,0,1,1,1,12795,-18,2,15508,37,3266,5,0,5,0,,0,0
12.19.2025,1.16833333,0,0,1,0,13961,-4,1,41656,41,7947,10,0,5,1,,0,0
12.20.2025,0.83066667,0,0,1,0,10789,-6,0,35784,58,23536,21,0,5,0,,0,0
12.21.2025,0.86933333,0,1,1,0,5239,-6,1,23174,34,21670,31,0,5,0,,0,0
12.22.2025,0.761,0,1,1,0,7765,-6,0,20877,39,15442,16,0,5,0,,0,0
12.23.2025,0.80233333,0,1,1,0,5498,-2,0,20821,49,12689,11,0,5,0,0.24166667,0,0
12.24.2025,0.88633333,0,1,1,0,12354,-7,3,30972,40,14832,13,0,5,0,0.80666667,0,0
12.25.2025,1.011,1,1,0,0,9776,-10,2,26675,51,15998,19,0,5,0,1.12933333,0,0
12.26.2025,1.35733333,1,0,0,0,8388,-2,1,20800,23,20258,33,0,5,0,1.48133333,0,0
12.27.2025,0.92,1,0,0,0,9202,-7,4,42111,58,14370,13,0,5,1,1.084,0,0
12.28.2025,1.143,1,1,0,0,7138,-16,3,41756,65,6393,9,0,5,0,1.012,0,0
12.29.2025,0.92733333,1,1,0,0,7008,-8,2,16648,49,6257,9,0,5,0,0.34666667,1,0
12.30.2025,1.18333333,1,1,0,0,6109,-14,1,25152,38,10554,12,0,5,0,1.06666667,1,0
12.31.2025,1.01466667,1,1,0,0,5463,-2,1,18377,32,7889,13,0,5,0,1.25933333,0,0
