date,Indexed Sales,Public Sector Holidays,Weekday,School,University,Tiktok View,Tiktok Follower Gain,Tiktok Phone click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramazan,catagory,Influncer Post,Event ,Public Sector Salary,Private Sector Salary,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Tiktok View_Lag1,Tiktok View_Lag2,Tiktok View_Lag3,Tiktok Phone click_Lag1,Tiktok Phone click_Lag2,Tiktok Phone click_Lag3,Instagram View_Lag1,Instagram View_Lag2,Instagram View_Lag3,Facebook View_Lag1,Facebook View_Lag2,Facebook View_Lag3,Tiktok View_5Day_Window,Tiktok Phone click_5Day_Window,Instagram View_5Day_Window,Facebook View_5Day_Window,Total_Combined_Income,is_salary_day,day_name
2025-02-02,0.573333333,0,1,1,1,,,,73620,12.0,90468,2,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,63682.0,67557.0,51035.0,60371.0,61571.0,50724.0,,,372328.0,430897.0,0.573333333,0,Sunday
2025-02-03,0.653333333,0,1,1,1,,,,83321,12.0,104323,6,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,73620.0,63682.0,67557.0,90468.0,60371.0,61571.0,,,352269.0,435185.0,0.653333333,0,Monday
2025-02-04,0.786666667,0,1,1,1,,,,84148,16.0,114164,4,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,83321.0,73620.0,63682.0,104323.0,90468.0,60371.0,,,330728.0,427553.0,0.786666667,0,Tuesday
2025-02-05,0.762,0,1,1,1,,,,47498,24.0,65859,2,0,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,84148.0,83321.0,73620.0,114164.0,104323.0,90468.0,,,299487.0,374040.0,0.762,1,Wednesday
2025-02-06,0.701333333,0,1,1,1,,,,42141,28.0,52739,4,0,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,47498.0,84148.0,83321.0,65859.0,114164.0,104323.0,,,238068.0,281364.0,0.701333333,1,Thursday
2025-02-07,0.949333333,0,0,1,1,,,,42379,10.0,36955,2,0,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,42141.0,47498.0,84148.0,52739.0,65859.0,114164.0,,,155474.0,167216.0,0.949333333,1,Friday
2025-02-08,0.930666667,0,0,1,1,,,,21902,13.0,11647,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,42379.0,42141.0,47498.0,36955.0,52739.0,65859.0,,,126560.0,134045.0,0.930666667,0,Saturday
2025-02-09,0.712,0,1,1,1,,,,1554,14.0,16,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,21902.0,42379.0,42141.0,11647.0,36955.0,52739.0,,,103961.0,127270.0,0.712,0,Sunday
2025-02-10,0.601333333,0,1,1,1,,,,18584,41.0,32688,1,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,1554.0,21902.0,42379.0,16.0,11647.0,36955.0,,,83168.0,136528.0,0.601333333,0,Monday
2025-02-11,0.696666667,0,1,1,1,,,,19542,34.0,45964,1,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,18584.0,1554.0,21902.0,32688.0,16.0,11647.0,,,99542.0,209359.0,0.696666667,0,Tuesday
2025-02-12,0.666666667,0,1,1,1,,,,21586,94.0,46213,1,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,19542.0,18584.0,1554.0,45964.0,32688.0,16.0,,,127673.0,263209.0,0.666666667,0,Wednesday
2025-02-13,1.180666667,0,1,1,1,,,,38276,360.0,84478,25,0,3,1,,0,0,,,,,,,,,,,,,,,,,,,,,21586.0,19542.0,18584.0,46213.0,45964.0,32688.0,,,150328.0,283630.0,1.180666667,0,Thursday
2025-02-14,1.138,0,0,1,1,,,,29685,32.0,53866,12,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,38276.0,21586.0,19542.0,84478.0,46213.0,45964.0,,,173602.0,267690.0,1.138,0,Friday
2025-02-15,0.926666667,0,0,1,1,,,,41239,50.0,53109,10,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,29685.0,38276.0,21586.0,53866.0,84478.0,46213.0,,,255810.0,391404.0,0.926666667,0,Saturday
2025-02-16,0.982666667,0,1,1,1,,,,42816,59.0,30024,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,41239.0,29685.0,38276.0,53109.0,53866.0,84478.0,,,316795.0,457527.0,0.982666667,0,Sunday
2025-02-17,0.882666667,0,1,1,1,,,,103794,108.0,169927,7,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,42816.0,41239.0,29685.0,30024.0,53109.0,53866.0,,,381740.0,517891.0,0.882666667,0,Monday
2025-02-18,0.814666667,0,1,1,1,,,,99261,62.0,150601,4,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,103794.0,42816.0,41239.0,169927.0,30024.0,53109.0,,,389600.0,525688.0,0.814666667,0,Tuesday
2025-02-19,0.966666667,0,1,1,1,,,,94630,34.0,114230,2,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,99261.0,103794.0,42816.0,150601.0,169927.0,30024.0,,,359554.0,501951.0,0.966666667,0,Wednesday
2025-02-20,1.441333333,0,1,1,1,,,,49099,25.0,60906,7,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,94630.0,99261.0,103794.0,114230.0,150601.0,169927.0,,,268806.0,338495.0,1.441333333,0,Thursday
2025-02-21,1.76,0,0,1,1,,,,12770,38.0,6287,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,49099.0,94630.0,99261.0,60906.0,114230.0,150601.0,,,176733.0,189857.0,1.76,0,Friday
2025-02-22,1.090666667,0,0,1,1,,,,13046,51.0,6471,9,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,12770.0,49099.0,94630.0,6287.0,60906.0,114230.0,,,84186.0,75705.0,1.090666667,0,Saturday
2025-02-23,1.066666667,0,1,1,1,,,,7188,57.0,1963,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,13046.0,12770.0,49099.0,6471.0,6287.0,60906.0,,,46723.0,15111.0,1.066666667,0,Sunday
2025-02-24,0.893333333,0,1,1,1,,,,2083,25.0,78,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,7188.0,13046.0,12770.0,1963.0,6471.0,6287.0,,,50475.0,8909.0,0.893333333,0,Monday
2025-02-25,0.862,0,1,1,1,,,,11636,54.0,312,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,2083.0,7188.0,13046.0,78.0,1963.0,6471.0,,,47957.0,2532.0,0.862,0,Tuesday
2025-02-26,1.22,0,1,1,1,,,,16522,98.0,85,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,11636.0,2083.0,7188.0,312.0,78.0,1963.0,,,58251.0,8775.0,1.22,0,Wednesday
2025-02-27,1.333333333,0,1,1,1,,,,10528,47.0,94,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,16522.0,11636.0,2083.0,85.0,312.0,78.0,,,129849.0,60038.0,1.333333333,0,Thursday
2025-02-28,1.422666667,0,0,1,1,,,,17482,41.0,8206,1,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,10528.0,16522.0,11636.0,94.0,85.0,312.0,,,221156.0,110720.0,1.422666667,0,Friday
2025-03-01,1.685333333,1,0,1,1,,,,73681,769.0,51341,4,1,5,1,,0,1,,,,,,,,,,,,,,,,,,,,,17482.0,10528.0,16522.0,8206.0,94.0,85.0,,,267020.0,164916.0,1.685333333,0,Saturday
2025-03-02,2.393333333,0,1,1,1,,,,102943,1242.0,50994,9,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,73681.0,17482.0,10528.0,51341.0,8206.0,94.0,,,308061.0,207318.0,2.393333333,0,Sunday
2025-03-03,2.699333333,0,1,1,1,,,,62386,408.0,54281,19,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,102943.0,73681.0,17482.0,50994.0,51341.0,8206.0,,,326377.0,199897.0,2.699333333,0,Monday
2025-03-04,2.832,0,1,1,1,,,,51569,253.0,42496,7,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,62386.0,102943.0,73681.0,54281.0,50994.0,51341.0,,,274187.0,148799.0,2.832,0,Tuesday
2025-03-05,2.128,1,1,0,1,,,,35798,267.0,785,2,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,51569.0,62386.0,102943.0,42496.0,54281.0,50994.0,,,245864.0,179629.0,2.128,0,Wednesday
2025-03-06,3.266666667,0,1,1,1,,,,21491,184.0,243,1,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,35798.0,51569.0,62386.0,785.0,42496.0,54281.0,,,273637.0,215536.0,3.266666667,0,Thursday
2025-03-07,3.16,0,0,1,0,99286.0,300.0,12.0,74620,165.0,81824,2,1,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,21491.0,35798.0,51569.0,243.0,785.0,42496.0,,,302526.0,261602.0,3.16,0,Friday
2025-03-08,3.218666667,0,0,1,0,98682.0,279.0,34.0,90159,218.0,90188,6,1,5,0,,0,0,,,,,,,,,,,,,,,99286.0,,,12.0,,,74620.0,21491.0,35798.0,81824.0,243.0,785.0,,,373488.0,418062.0,3.218666667,0,Saturday
2025-03-09,2.766666667,0,1,1,0,89204.0,142.0,35.0,80458,255.0,88562,21,1,5,0,,0,0,,,,,,,,,,,,,,,98682.0,99286.0,,34.0,12.0,,90159.0,74620.0,21491.0,90188.0,81824.0,243.0,472508.0,109.0,465289.0,618177.0,2.766666667,0,Sunday
2025-03-10,2.748,0,1,1,0,105871.0,178.0,9.0,106760,137.0,157245,16,1,5,0,,0,0,,,,,,,,,,,,,,,89204.0,98682.0,99286.0,35.0,34.0,12.0,80458.0,90159.0,74620.0,88562.0,90188.0,81824.0,467568.0,108.0,509835.0,727502.0,2.748,0,Monday
2025-03-11,2.866666667,0,1,0,0,79465.0,123.0,19.0,113292,88.0,200358,22,1,5,0,,0,0,,,,,,,,,,,,,,,105871.0,89204.0,98682.0,9.0,35.0,34.0,106760.0,80458.0,90159.0,157245.0,88562.0,90188.0,503321.0,90.0,537466.0,816424.0,2.866666667,0,Tuesday
2025-03-12,2.633333333,0,1,1,0,94346.0,109.0,11.0,119166,166.0,191149,15,1,5,0,,0,0,,,,,,,,,,,,,,,79465.0,105871.0,89204.0,19.0,9.0,35.0,113292.0,106760.0,80458.0,200358.0,157245.0,88562.0,471538.0,70.0,548550.0,873909.0,2.633333333,0,Wednesday
2025-03-13,3.266666667,0,1,1,0,134435.0,180.0,16.0,117790,121.0,179110,7,1,5,0,,1,0,,,,,,,,,,,,,,,94346.0,79465.0,105871.0,11.0,19.0,9.0,119166.0,113292.0,106760.0,191149.0,200358.0,157245.0,410648.0,79.0,499822.0,769162.0,3.266666667,1,Thursday
2025-03-14,2.989333333,0,0,1,0,57421.0,77.0,15.0,91542,85.0,146047,21,1,5,0,,0,0,,,,,,,,,,,,,,,134435.0,94346.0,79465.0,16.0,11.0,19.0,117790.0,119166.0,113292.0,179110.0,191149.0,200358.0,385792.0,72.0,417259.0,588088.0,2.989333333,0,Friday
2025-03-15,3.038666667,0,0,1,0,44981.0,72.0,18.0,58032,107.0,52498,8,1,5,0,,0,0,,,,,,,,,,,,,,,57421.0,134435.0,94346.0,15.0,16.0,11.0,91542.0,117790.0,119166.0,146047.0,179110.0,191149.0,331809.0,65.0,333992.0,412184.0,3.038666667,0,Saturday
2025-03-16,3.156,1,1,1,0,54609.0,92.0,12.0,30729,161.0,19284,11,1,5,0,,0,0,,,,,,,,,,,,,,,44981.0,57421.0,134435.0,18.0,15.0,16.0,58032.0,91542.0,117790.0,52498.0,146047.0,179110.0,227305.0,51.0,244566.0,265812.0,3.156,0,Sunday
